key,distrito_nombre,pct_LLA_sep,pct_FP_sep,votos_LLA_sep,votos_FP_sep,pct_LLA_oct,pct_FP_oct,votos_LLA_oct,votos_FP_oct,volatilidad_LLA,volatilidad_FP,volatilidad_abs,pct_sin_cobertura,edad_mediana,pct_viviendas_ocupadas
general viamonte,General Viamonte,20.83,45.34,2134.0,4646.0,44.93,41.92,4815.0,4492.0,24.1,-3.42,24.1,33.27,35,90.02
general villegas,General Villegas,38.19,22.41,5417.0,3179.0,56.82,27.8,8680.0,4247.0,18.63,5.39,18.63,34.21,34,87.16
adolfo gonzales chaves,Adolfo Gonzales Chaves,37.31,55.76,1723.0,2575.0,42.68,38.0,2627.0,2339.0,5.37,-17.76,5.37,30.98,35,85.34
guamini,Guaminí,31.08,44.24,1842.0,2622.0,50.03,38.56,3045.0,2347.0,18.95,-5.68,18.95,22.4,37,80.97
hipolito yrigoyen,Hipólito Yrigoyen,42.05,43.62,1908.0,1979.0,51.91,36.22,2532.0,1767.0,9.86,-7.4,9.86,16.09,36,85.66
benito juarez,Benito Juárez,31.79,52.92,2901.0,4829.0,42.36,44.54,4708.0,4950.0,10.57,-8.38,10.57,27.89,36,85.31
junin,Junín,24.07,35.25,12491.0,18292.0,48.07,34.83,26212.0,18992.0,24.0,-0.42,24.0,24.12,36,88.63
la matanza,La Matanza,28.96,53.18,188321.0,345783.0,32.52,48.45,225035.0,335217.0,3.56,-4.73,3.56,46.07,31,93.8
lanus,Lanús,32.16,49.5,76934.0,118425.0,36.88,45.08,93651.0,114452.0,4.72,-4.42,4.72,28.09,37,91.47
la plata,La Plata,37.25,43.51,139449.0,162886.0,44.15,38.89,173880.0,153163.0,6.9,-4.62,6.9,27.72,33,88.96
laprida,Laprida,34.58,45.46,2101.0,2762.0,44.41,44.39,2793.0,2792.0,9.83,-1.07,9.83,18.29,33,81.76
las flores,Las Flores,46.42,45.18,5573.0,5424.0,48.4,35.54,7083.0,5201.0,1.98,-9.64,1.98,30.88,36,86.29
leandro n. alem,Leandro N. Alem,30.33,49.26,2834.0,4602.0,47.48,42.87,4795.0,4330.0,17.15,-6.39,17.15,35.6,35,87.16
lincoln,Lincoln,37.75,33.73,7271.0,6498.0,53.07,30.0,13172.0,7446.0,15.32,-3.73,15.32,28.36,36,87.01
loberia,Lobería,26.83,38.83,2288.0,3311.0,45.94,37.65,4064.0,3331.0,19.11,-1.18,19.11,33.69,36,84.22
lobos,Lobos,40.51,41.99,7648.0,7928.0,52.77,31.26,11642.0,6896.0,12.26,-10.73,12.26,35.45,34,87.91
lomas de zamora,Lomas de Zamora,28.2,55.64,95357.0,188155.0,35.03,48.29,122596.0,168988.0,6.83,-7.35,6.83,38.01,33,94.09
lujan,Luján,37.26,51.46,21123.0,29172.0,46.37,37.48,29910.0,24171.0,9.11,-13.98,9.11,29.6,34,89.87
magdalena,Magdalena,29.47,34.84,2634.0,3114.0,43.22,33.32,4670.0,3601.0,13.75,-1.52,13.75,26.85,31,86.01
maipu,Maipú,28.95,40.63,1919.0,2693.0,46.42,33.38,2714.0,1952.0,17.47,-7.25,17.47,27.67,35,89.42
mar chiquita,Mar Chiquita,34.81,49.84,6604.0,9454.0,44.96,40.74,9078.0,8227.0,10.15,-9.1,10.15,30.36,36,57.96
marcos paz,Marcos Paz,28.87,51.8,8607.0,15443.0,35.68,49.8,11689.0,16315.0,6.81,-2.0,6.81,46.23,29,90.58
mercedes,Mercedes,42.07,42.46,14285.0,14419.0,50.04,35.28,19682.0,13878.0,7.97,-7.18,7.97,28.84,33,86.06
merlo,Merlo,31.58,49.42,73639.0,115225.0,33.0,47.97,88850.0,129170.0,1.42,-1.45,1.42,46.48,31,95.8
monte,Monte,30.93,40.34,3652.0,4763.0,49.66,34.99,6409.0,4515.0,18.73,-5.35,18.73,31.24,33,82.48
moreno,Moreno,30.62,54.24,67219.0,119081.0,33.79,49.82,79580.0,117332.0,3.17,-4.42,3.17,50.24,29,92.9
moron,Morón,40.21,43.65,71504.0,77615.0,43.17,38.12,82446.0,72812.0,2.96,-5.53,2.96,22.43,38,89.94
navarro,Navarro,35.81,36.42,2943.0,2993.0,52.22,33.73,5212.0,3366.0,16.41,-2.69,16.41,35.24,32,83.51
necochea,Necochea,47.43,31.81,18651.0,12510.0,53.11,30.23,27301.0,15541.0,5.68,-1.58,5.68,33.28,37,79.3
nueve de julio,9 de Julio,34.06,27.21,8247.0,6589.0,53.68,28.74,14833.0,7942.0,19.62,1.53,19.62,28.84,35,86.63
olavarria,Olavarria,37.15,39.37,20728.0,21967.0,49.66,33.85,31427.0,21423.0,12.51,-5.52,12.51,15.76,34,89.58
pehuajo,Pehuajó,32.32,52.53,6972.0,11333.0,47.43,40.17,11637.0,9854.0,15.11,-12.36,15.11,29.66,35,87.46
pellegrini,Pellegrini,30.47,37.53,1019.0,1255.0,53.46,32.39,1591.0,964.0,22.99,-5.14,22.99,26.08,34,86.9
pergamino,Pergamino,28.46,32.59,14913.0,17080.0,51.19,31.77,30595.0,18988.0,22.73,-0.82,22.73,33.1,35,89.39
pila,Pila,24.95,53.14,616.0,1312.0,41.76,46.4,899.0,999.0,16.81,-6.74,16.81,22.69,31,79.22
